k,actual,neighbor_prediction
5,0.4574074074074074,0.456408145707657
5,0.4450617283950617,0.24442662756427405
5,0.7404320987654321,0.4958530523316927
5,0.3228395061728394,0.4810250937240609
5,0.4694444444444445,0.5586032306673612
5,0.4725308641975309,0.5238589945820893
5,0.7700617283950617,0.764325906109378
5,0.2496913580246913,0.32158195023609415
5,0.4817901234567901,0.2232781302967732
5,0.8654320987654321,0.7049486470218687
5,0.683641975308642,0.39894839234373286
5,0.1064814814814814,0.20668146527893344
5,0.3444444444444444,0.47120467495678664
5,0.5419753086419753,0.44902614337796054
5,0.5419753086419753,0.690055166057461
5,0.7354938271604938,0.6866204235201111
5,0.7388888888888889,0.586199932116537
5,0.7188271604938272,0.6670325595926028
5,0.8095679012345679,0.7349975383338743
5,0.0771604938271604,0.3515211575958499
5,0.5509259259259259,0.39594675993320355
5,0.6620370370370371,0.38224446138653867
5,0.5916666666666667,0.5335151499510166
5,0.4765432098765432,0.4610172778812125
5,0.7441358024691359,0.5037456129040051
5,0.4709876543209876,0.6210645759111577
5,0.5530864197530865,0.5609557104958662
5,0.3009259259259259,0.41682183201163603
5,0.4833333333333333,0.20892919234496993
5,0.5234567901234567,0.43531648322689437
5,0.889814814814815,0.7748580284319463
5,0.295679012345679,0.5798325917480522
5,0.4987654320987655,0.5080601639766716
5,0.7077160493827162,0.2335720616858383
5,0.7206790123456791,0.47070851286655513
5,0.5006172839506173,0.6253148047844634
5,0.726851851851852,0.3217849324896568
5,0.867283950617284,0.6764867133542276
5,0.4354938271604938,0.6317507598920535
5,0.6425925925925925,0.5425364788959018
5,0.4589506172839506,0.45223037861292437
5,0.620679012345679,0.45546122529227245
5,0.4654320987654321,0.4809014509330166
5,0.2416666666666667,0.37417881677164383
5,0.4722222222222222,0.7666822868041571
5,0.5021604938271605,0.45424457192187695
5,0.2691358024691357,0.481624578996156
5,0.6975308641975309,0.5735338818292931
5,0.3212962962962963,0.2941319048225221
5,0.7682098765432098,0.5560262002354096
5,0.8712962962962963,0.7541968298378143
5,0.3138888888888889,0.6489530836326058
5,0.1925925925925926,0.19156735985996667
5,0.8250000000000001,0.5923520530025915
5,0.695679012345679,0.6012825328649976
5,0.678395061728395,0.3524267621447132
5,0.7793209876543209,0.5164609441546221
5,0.7049382716049383,0.5249166352978083
5,0.7364197530864197,0.44289789825558934
5,0.7416666666666667,0.3184632404822971
5,0.6749999999999999,0.5684117004837687
5,0.6296296296296297,0.4712319790642777
5,0.7512345679012346,0.5050338349108194
5,0.5287037037037038,0.35212645391602415
5,0.6959876543209876,0.6302864392791534
5,0.5083333333333333,0.3406400330720213
5,0.4802469135802469,0.39916177206257897
5,0.4858024691358024,0.407866311997741
5,0.3641975308641975,0.4717754460353145
5,0.345679012345679,0.3145845914445381
5,0.1682098765432098,0.22463554566851196
5,0.4175925925925925,0.5771919761864903
5,0.6358024691358025,0.4153715226810035
5,0.6083333333333333,0.535442156829477
5,0.4503086419753086,0.4535369950382506
5,0.5719135802469136,0.45658610509009584
5,0.7972222222222222,0.28685346144592555
5,0.3052469135802469,0.3007256328150254
5,0.4074074074074074,0.4087830318359891
5,0.6469135802469136,0.4932099448372133
5,0.5564814814814815,0.43609762034147015
5,0.5978395061728395,0.6896189210265776
5,0.4518518518518519,0.19689558510428828
5,0.5518518518518518,0.3807350360478964
5,0.2265432098765432,0.2915759143776391
5,0.3580246913580247,0.46448124901405885
5,0.6052469135802468,0.38736064952682686
5,0.8416666666666667,0.6965123102226912
5,0.6623456790123456,0.5806470568048743
5,0.7984567901234568,0.6932694362365263
5,0.7320987654320987,0.46970564728781067
5,0.6314814814814814,0.40276320251165626
5,0.4015432098765432,0.3964882992044864
5,0.8077160493827161,0.5250297487528586
5,0.7484567901234568,0.5534125679280224
5,0.4867283950617284,0.520538613551474
5,0.3469135802469136,0.46976289119948966
5,0.5478395061728395,0.41051026563816495
5,0.717283950617284,0.6647483937856948
5,0.3657407407407407,0.34123094478632704
5,0.5805555555555556,0.3142640323403643
5,0.7271604938271605,0.3192793531955832
5,0.7777777777777777,0.5515399972697472
5,0.6311728395061728,0.5337554237904859
5,0.3999999999999999,0.46955761996328493
5,0.3317901234567901,0.5680465153494445
5,0.4302469135802469,0.6164340990090895
5,0.6367283950617284,0.5938425984425378
5,0.6950617283950616,0.6104641251926142
5,0.5827160493827162,0.449989423739968
5,0.8546296296296295,0.7756893984210762
5,0.619753086419753,0.5765642971167428
5,0.45,0.4827718559760603
5,0.4962962962962963,0.4615173452021367
5,0.5697530864197531,0.3102591347312679
5,0.742283950617284,0.6268657960126239
5,0.5287037037037038,0.39717948403231373
5,0.8790123456790123,0.7931505679242463
5,0.4632716049382716,0.25054662146662804
5,0.207716049382716,0.34796228541871815
5,0.6589506172839507,0.45506780703063127
5,0.2484567901234567,0.18602952288428917
5,0.7157407407407407,0.4358747440740776
5,0.5367283950617284,0.7427441661586769
5,0.4037037037037037,0.3525400420917965
5,0.629320987654321,0.4539268858605884
5,0.7558641975308643,0.5260557061208581
5,0.7632716049382716,0.5706677346670139
5,0.1388888888888888,0.39933436112577525
5,0.6811728395061728,0.5036805799601706
5,0.6194444444444445,0.45182413392594234
5,0.6354938271604939,0.6524792115723681
5,0.633641975308642,0.5704590668353785
5,0.590432098765432,0.5636177148245338
5,0.5450617283950617,0.15625024853364353
5,0.8975308641975309,0.6657600735486382
5,0.5972222222222222,0.2567311023651624
5,0.7743827160493827,0.5824489312161067
5,0.575925925925926,0.5316331144780365
5,0.7194444444444444,0.49474578481274356
5,0.842283950617284,0.706787309439051
5,0.5231481481481481,0.4030758704693061
5,0.3629629629629629,0.34785305024164925
5,0.7086419753086419,0.47848712220316575
5,0.6391975308641976,0.3577335033588543
5,0.3802469135802469,0.3722363037954329
5,0.6935185185185185,0.4818378567857534
5,0.5675925925925926,0.43210510833102694
5,0.687037037037037,0.6560795179753466
5,0.5709876543209876,0.5805223558679117
5,0.5351851851851852,0.6026742454380857
5,0.6972222222222223,0.5477500791621369
5,0.7175925925925926,0.49527254740780036
5,0.1669753086419753,0.46368697634684275
5,0.7604938271604937,0.5225937084699069
5,0.5984567901234569,0.5707097524461752
5,0.4922839506172839,0.6033812804651179
