column,missing_count,missing_pct
fatigue_day,881,81.57407407407408
duration_sec,0,0.0
readability_score,0,0.0
text_density,0,0.0
brand_visibility_score,0,0.0
clutter_score,0,0.0
faces_count,0,0.0
has_discount_badge,0,0.0
copy_length_chars,0,0.0
has_price,0,0.0
has_ugc_style,0,0.0
motion_score,0,0.0
novelty_score,0,0.0
product_count,0,0.0
aspect_ratio,0,0.0
height_x,0,0.0
height_y,0,0.0
image_area,0,0.0
width_x,0,0.0
width_y,0,0.0
clip_pca_0,0,0.0
clip_pca_1,0,0.0
clip_pca_10,0,0.0
clip_pca_11,0,0.0
clip_pca_12,0,0.0
clip_pca_13,0,0.0
clip_pca_14,0,0.0
clip_pca_15,0,0.0
clip_pca_16,0,0.0
clip_pca_17,0,0.0
clip_pca_18,0,0.0
clip_pca_19,0,0.0
clip_pca_2,0,0.0
clip_pca_20,0,0.0
clip_pca_21,0,0.0
clip_pca_22,0,0.0
clip_pca_23,0,0.0
clip_pca_24,0,0.0
clip_pca_25,0,0.0
clip_pca_26,0,0.0
has_gameplay,0,0.0
clip_pca_28,0,0.0
clip_pca_29,0,0.0
clip_pca_3,0,0.0
clip_pca_30,0,0.0
clip_pca_31,0,0.0
clip_pca_32,0,0.0
clip_pca_33,0,0.0
clip_pca_34,0,0.0
clip_pca_35,0,0.0
clip_pca_36,0,0.0
clip_pca_37,0,0.0
clip_pca_38,0,0.0
clip_pca_39,0,0.0
clip_pca_4,0,0.0
clip_pca_40,0,0.0
clip_pca_41,0,0.0
clip_pca_42,0,0.0
clip_pca_43,0,0.0
clip_pca_44,0,0.0
clip_pca_45,0,0.0
clip_pca_46,0,0.0
clip_pca_47,0,0.0
clip_pca_48,0,0.0
clip_pca_49,0,0.0
clip_pca_5,0,0.0
clip_pca_50,0,0.0
clip_pca_51,0,0.0
clip_pca_52,0,0.0
clip_pca_53,0,0.0
clip_pca_54,0,0.0
clip_pca_55,0,0.0
clip_pca_56,0,0.0
clip_pca_57,0,0.0
clip_pca_58,0,0.0
clip_pca_59,0,0.0
clip_pca_6,0,0.0
clip_pca_60,0,0.0
clip_pca_61,0,0.0
clip_pca_62,0,0.0
clip_pca_63,0,0.0
clip_pca_7,0,0.0
clip_pca_8,0,0.0
clip_pca_9,0,0.0
cnn_pca_0,0,0.0
cnn_pca_1,0,0.0
cnn_pca_10,0,0.0
cnn_pca_11,0,0.0
cnn_pca_12,0,0.0
cnn_pca_13,0,0.0
cnn_pca_14,0,0.0
cnn_pca_15,0,0.0
cnn_pca_16,0,0.0
cnn_pca_17,0,0.0
cnn_pca_18,0,0.0
cnn_pca_19,0,0.0
cnn_pca_2,0,0.0
cnn_pca_20,0,0.0
cnn_pca_21,0,0.0
cnn_pca_22,0,0.0
cnn_pca_23,0,0.0
cnn_pca_24,0,0.0
cnn_pca_25,0,0.0
cnn_pca_26,0,0.0
clip_pca_27,0,0.0
cnn_pca_27,0,0.0
cnn_pca_28,0,0.0
cnn_pca_3,0,0.0
cnn_pca_29,0,0.0
cnn_pca_31,0,0.0
cnn_pca_32,0,0.0
cnn_pca_33,0,0.0
cnn_pca_30,0,0.0
cnn_pca_35,0,0.0
cnn_pca_36,0,0.0
cnn_pca_37,0,0.0
cnn_pca_38,0,0.0
cnn_pca_39,0,0.0
cnn_pca_4,0,0.0
cnn_pca_40,0,0.0
cnn_pca_34,0,0.0
cnn_pca_42,0,0.0
cnn_pca_43,0,0.0
cnn_pca_44,0,0.0
cnn_pca_45,0,0.0
cnn_pca_46,0,0.0
cnn_pca_47,0,0.0
cnn_pca_48,0,0.0
cnn_pca_49,0,0.0
cnn_pca_5,0,0.0
cnn_pca_50,0,0.0
cnn_pca_51,0,0.0
cnn_pca_52,0,0.0
cnn_pca_53,0,0.0
cnn_pca_54,0,0.0
cnn_pca_55,0,0.0
cnn_pca_41,0,0.0
cnn_pca_56,0,0.0
cnn_pca_57,0,0.0
cnn_pca_59,0,0.0
cnn_pca_58,0,0.0
cnn_pca_60,0,0.0
cnn_pca_61,0,0.0
