creative_id,k,actual,neighbor_prediction,self_in_neighbors,label_consistency,hit_top_performer,ndcg,fatigue_consistency
500000,5,0.3410493827160494,0.46539430176929564,False,0.8,0.0,0.9047172294870751,0.8
500001,5,0.5978395061728395,0.674616693532279,False,0.4,0.0,0.5706417189553201,0.4
500002,5,0.6074074074074074,0.5934865075601787,False,0.6,0.0,1.0,0.6
500003,5,0.4916666666666667,0.5652307937603878,False,0.8,0.0,0.9828920819566879,0.8
500004,5,0.5191358024691358,0.5984053090878887,False,0.4,0.0,0.6240505200038379,0.4
500005,5,0.5419753086419753,0.6894108682730625,False,0.6,0.0,0.8529278650606567,0.8
500006,5,0.1296296296296296,0.3305753665645883,False,0.4,0.0,0.8503449055347546,1.0
500007,5,0.4419753086419752,0.31838748704444164,False,0.4,0.0,0.6934264036172708,0.8
500008,5,0.2496913580246913,0.2883412463319034,False,0.6,0.0,0.6797310500037655,1.0
500009,5,0.1925925925925926,0.18599268930850568,False,0.6,0.0,1.0,1.0
500010,5,0.2487654320987654,0.48240699773427476,False,0.8,0.0,0.9047172294870751,0.8
500011,5,0.2095679012345679,0.4920279905644464,False,0.0,0.0,0.0,1.0
500012,5,0.3620370370370371,0.4364053348781506,False,1.0,0.0,1.0,1.0
500013,5,0.2617283950617284,0.46528942757261,False,1.0,0.0,1.0,1.0
500014,5,0.3932098765432099,0.45826376104301114,False,1.0,0.0,1.0,1.0
500015,5,0.3101851851851852,0.33184923985585507,False,0.8,0.0,0.9828920819566879,1.0
500016,5,0.4858024691358024,0.5306829490288046,False,1.0,0.0,1.0,1.0
500017,5,0.2935185185185185,0.47628988589505533,False,1.0,0.0,1.0,1.0
500018,5,0.8944444444444444,0.7091107858005192,False,0.0,0.0,0.0,0.4
500019,5,0.4132716049382716,0.4865731285038874,False,0.8,0.0,0.9047172294870751,0.8
500020,5,0.645679012345679,0.5142680269166873,False,0.6,0.0,0.6182885020492784,0.8
500021,5,0.3435185185185185,0.6521785669216029,False,0.2,0.0,0.5,0.2
500022,5,0.6885802469135802,0.7431154321171348,False,0.2,0.0,0.38685280723454163,0.6
500023,5,0.7404320987654321,0.4999023797908253,False,0.0,0.0,0.0,0.0
500024,5,0.5972222222222222,0.25195647131468313,False,0.4,0.0,0.9197207891481876,1.0
500025,5,0.3759259259259259,0.4749389484789419,False,0.6,0.0,0.7328286204777911,0.8
500026,5,0.4817901234567901,0.3285789903065059,False,0.8,0.0,0.9558295932317544,1.0
500027,5,0.2700617283950617,0.22358222145410173,False,0.6,0.0,0.7122630665145961,1.0
500028,5,0.683641975308642,0.4070887477594467,False,0.8,0.0,0.9828920819566879,1.0
500029,5,0.2435185185185185,0.23741327211560273,False,0.6,0.0,0.8854598815714874,1.0
500030,5,0.6953703703703704,0.5390473667912385,False,0.0,0.0,0.0,0.0
500031,5,0.3253086419753086,0.40655803106263577,False,0.6,0.0,0.6797310500037655,0.8
500032,5,0.4759259259259258,0.4176916291095361,False,0.4,0.0,0.8772153153380493,0.8
500033,5,0.3271604938271604,0.5645652223162232,False,0.6,0.0,0.9060254355346823,0.8
500034,5,0.1950617283950617,0.5765442161620447,False,0.0,0.0,0.0,1.0
500035,5,0.6972222222222223,0.4648771961202657,False,0.4,0.0,0.5012658353418871,0.8
500036,5,0.6990740740740741,0.6260377683580296,False,0.6,0.0,0.6797310500037655,0.6
500037,5,0.5916666666666667,0.5284325824115377,False,0.4,0.0,0.8772153153380493,0.4
500038,5,0.7802469135802469,0.6582808993108245,False,0.0,0.0,0.0,0.6
500039,5,0.65,0.6195299190269672,False,0.2,0.0,0.6309297535714575,0.2
500040,5,0.6895061728395063,0.6548679092327461,False,0.4,0.0,0.6934264036172708,0.4
500041,5,0.5780864197530864,0.6847894034972238,False,0.2,0.0,0.38685280723454163,0.2
500042,5,0.3040123456790123,0.2685808101693006,False,0.4,0.0,0.5437713091520254,1.0
500043,5,0.7777777777777778,0.5754839947485834,False,0.8,0.0,0.9828920819566879,0.8
500044,5,0.649074074074074,0.4626607307261266,False,1.0,0.0,1.0,1.0
500045,5,0.578395061728395,0.3559122919609823,False,1.0,0.0,1.0,1.0
500046,5,0.5981481481481481,0.26843951506226355,False,0.4,0.0,0.9197207891481876,1.0
500047,5,0.7435185185185186,0.3526186652516864,False,0.8,0.0,1.0,1.0
500048,5,0.6052469135802468,0.5012639763225585,False,0.6,0.0,0.9060254355346823,0.8
500049,5,0.3657407407407407,0.3637990555234332,False,1.0,0.0,1.0,1.0
500050,5,0.2876543209876543,0.36582769110291724,False,1.0,0.0,1.0,1.0
500051,5,0.3126543209876544,0.47030167066890144,False,1.0,0.0,1.0,1.0
500052,5,0.2685185185185185,0.48432439369376745,False,1.0,0.0,1.0,1.0
500053,5,0.4805555555555555,0.5003064346232403,False,1.0,0.0,1.0,1.0
500054,5,0.7222222222222222,0.8019213888278289,False,0.6,0.0,0.7328286204777911,0.6
500055,5,0.854320987654321,0.653751925043352,False,0.2,1.0,0.43067655807339306,0.4
500056,5,0.7768518518518519,0.8331547408670565,False,0.4,0.0,1.0,0.4
500057,5,0.4993827160493827,0.6381871774090571,False,0.6,0.0,0.6797310500037655,1.0
500058,5,0.4598765432098765,0.40880086169786634,False,1.0,0.0,1.0,1.0
500059,5,0.6216049382716049,0.6690640300834252,False,0.6,0.0,0.8854598815714874,0.6
500060,5,0.3824074074074073,0.36055575843659743,False,0.6,0.0,0.9469024295259745,0.8
500061,5,0.3148148148148148,0.32439101737461684,False,0.8,0.0,0.9047172294870751,1.0
500062,5,0.4802469135802469,0.37287334943575556,False,1.0,0.0,1.0,1.0
500063,5,0.412037037037037,0.37614669243407434,False,0.2,0.0,0.6309297535714575,0.6
